22:41:46 INFO === Portfolio Backtest: 252d, 5 positions × 20% ===
22:41:46 INFO Starting equity: $5,000
22:41:46 INFO === SwingTrade Walk-Forward Backtest: 252d window, 7d hold ===
22:41:46 INFO Thresholds: score≥55, RS≥70, top 5/day
22:41:46 INFO Data: Polygon.io OHLCV (5yr) + FINVIZ fundamentals. Zacks/news/insider unavailable historically.
22:41:46 WARNING SURVIVORSHIP BIAS: Uses current S&P 500 membership. Historical index changes not accounted for. Expect live performance 3-5% below backtest estimates.
22:41:46 WARNING FUNDAMENTAL LOOK-AHEAD: yfinance current data applied to historical signals. Backtest WR inflated ~1-2pp. See audit #4 / module docstring for full fix plan. Set BACKTEST_NO_FUNDAMENTALS=1 to neutralize the fundamentals pillar.
22:41:46 INFO Slippage model: entry 3bps, exit 2bps, $0 commission. Signal at T close -> entry at T+1 open.
22:41:48 INFO Russell 1000: fetched 1008 tickers from iShares IWB
22:41:48 INFO Universe: 1016 tickers (S&P 500 + Russell 1000 merged) — will filter by price after download
22:41:48 INFO Loading from data archive (Parquet)...
22:41:49 INFO Archive: loaded 1002/1016 tickers in 1.0s
22:41:49 INFO Archive: 820 tickers pass price filter
22:41:49 INFO Ready: 820 tickers pass price filter
22:41:49 INFO Downloading SPY benchmark data...
22:41:49 INFO Backtest window: 2025-04-02 → 2026-04-02 (252 days)
22:41:49 INFO Active universe: 820 tickers
22:41:49 INFO Fetching yfinance info for 820 tickers (current snapshot — see audit #4 look-ahead warning above)...
22:41:49 INFO Fetching FINVIZ Elite bulk data...
22:41:49 INFO   FINVIZ: 11007 tickers loaded
22:41:50 WARNING Backtest scoring now matches live path (audit #9 fix)
22:42:32 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:43:15 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:43:56 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:44:36 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:45:16 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:45:56 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:46:36 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:47:17 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:47:57 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:48:38 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:49:18 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:50:00 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:50:40 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:51:20 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:52:00 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:52:41 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:53:22 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:54:04 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:54:47 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:55:29 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:56:12 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:56:54 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:57:36 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:58:20 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:59:04 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
22:59:47 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:00:33 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:01:18 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:02:02 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:02:47 INFO   2025-05-14: 5 picks (BUY:0 WATCH:5 pool:23)
23:02:47 INFO     → 5 picks (BUY:0 WATCH:5 total scored:23)
23:03:32 INFO   2025-05-15: 5 picks (BUY:1 WATCH:4 pool:40)
23:03:32 INFO     → 5 picks (BUY:1 WATCH:4 total scored:40)
23:04:18 INFO   2025-05-16: 5 picks (BUY:0 WATCH:5 pool:41)
23:04:18 INFO     → 5 picks (BUY:0 WATCH:5 total scored:41)
23:05:05 INFO   2025-05-19: 5 picks (BUY:1 WATCH:4 pool:46)
23:05:05 INFO     → 5 picks (BUY:1 WATCH:4 total scored:46)
23:05:50 INFO   2025-05-20: 5 picks (BUY:1 WATCH:4 pool:57)
23:05:50 INFO     → 5 picks (BUY:1 WATCH:4 total scored:57)
