23:16:39 INFO === Portfolio Backtest: 252d, 5 positions × 20% ===
23:16:39 INFO Starting equity: $5,000
23:16:39 INFO === SwingTrade Walk-Forward Backtest: 252d window, 7d hold ===
23:16:39 INFO Thresholds: score≥55, RS≥70, top 5/day
23:16:39 INFO Data: Polygon.io OHLCV (5yr) + FINVIZ fundamentals. Zacks/news/insider unavailable historically.
23:16:39 WARNING SURVIVORSHIP BIAS: Uses current S&P 500 membership. Historical index changes not accounted for. Expect live performance 3-5% below backtest estimates.
23:16:39 WARNING FUNDAMENTAL LOOK-AHEAD: yfinance current data applied to historical signals. Backtest WR inflated ~1-2pp. See audit #4 / module docstring for full fix plan. Set BACKTEST_NO_FUNDAMENTALS=1 to neutralize the fundamentals pillar.
23:16:39 INFO Slippage model: entry 3bps, exit 2bps, $0 commission. Signal at T close -> entry at T+1 open.
23:16:40 INFO Russell 1000: fetched 1008 tickers from iShares IWB
23:16:40 INFO Universe: 1016 tickers (S&P 500 + Russell 1000 merged) — will filter by price after download
23:16:40 INFO Loading from data archive (Parquet)...
23:16:41 INFO Archive: loaded 1002/1016 tickers in 1.0s
23:16:41 INFO Archive: 820 tickers pass price filter
23:16:41 INFO Ready: 820 tickers pass price filter
23:16:41 INFO Downloading SPY benchmark data...
23:16:41 INFO Backtest window: 2025-04-02 → 2026-04-02 (252 days)
23:16:41 INFO Active universe: 820 tickers
23:16:41 INFO Fetching yfinance info for 820 tickers (current snapshot — see audit #4 look-ahead warning above)...
23:16:41 INFO Fetching FINVIZ Elite bulk data...
23:16:42 INFO   FINVIZ: 11007 tickers loaded
23:16:42 WARNING Backtest scoring now matches live path (audit #9 fix)
23:17:21 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:18:01 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:18:40 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:19:20 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:19:59 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:20:39 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:21:19 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:21:59 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:22:39 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:23:20 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:24:00 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:24:40 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:25:20 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:26:00 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:26:40 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:27:20 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:28:01 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:28:42 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:29:22 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:30:03 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
23:30:44 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
