13:27:44 INFO === Portfolio Backtest: 252d, 5 positions × 25% ===
13:27:44 INFO Starting equity: $5,000
13:27:44 INFO === SwingTrade Walk-Forward Backtest: 252d window, 7d hold ===
13:27:44 INFO Thresholds: score≥55, RS≥65, top 5/day
13:27:44 INFO Data: Polygon.io OHLCV (5yr) + FINVIZ fundamentals. Zacks/news/insider unavailable historically.
13:27:44 WARNING SURVIVORSHIP BIAS: Uses current S&P 500 membership. Historical index changes not accounted for. Expect live performance 3-5% below backtest estimates.
13:27:44 WARNING FUNDAMENTAL LOOK-AHEAD: yfinance current data applied to historical signals. Backtest WR inflated ~1-2pp. See audit #4 / module docstring for full fix plan. Set BACKTEST_NO_FUNDAMENTALS=1 to neutralize the fundamentals pillar.
13:27:44 INFO Slippage model: entry 3bps, exit 2bps, $0 commission. Signal at T close -> entry at T+1 open.
13:27:46 INFO Russell 1000: fetched 1008 tickers from iShares IWB
13:27:46 INFO Universe: 1016 tickers (S&P 500 + Russell 1000 merged) — will filter by price after download
13:27:46 INFO Loading from data archive (Parquet)...
13:27:47 INFO Archive: loaded 1002/1016 tickers in 1.0s
13:27:48 INFO Archive: 819 tickers pass price filter
13:27:48 INFO Ready: 819 tickers pass price filter
13:27:48 INFO Downloading SPY benchmark data...
13:27:48 INFO Backtest window: 2025-04-02 → 2026-04-02 (252 days)
13:27:48 INFO Active universe: 819 tickers
13:27:48 INFO Fetching yfinance info for 819 tickers (current snapshot — see audit #4 look-ahead warning above)...
13:27:49 INFO Fetching FINVIZ Elite bulk data...
13:27:49 INFO   FINVIZ: 11014 tickers loaded
13:27:49 WARNING Backtest scoring now matches live path (audit #9 fix)
13:28:34 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:29:21 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:30:07 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:30:52 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:31:38 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:32:24 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:33:10 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:33:57 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:34:43 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:35:32 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:36:22 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:37:12 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:38:00 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:38:47 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:39:39 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:40:34 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:41:27 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:42:23 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:43:23 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
13:44:16 INFO     → 0 picks (BUY:0 WATCH:0 total scored:0)
